--------------------------------
Game: DemonAttack-v0
Mode: train
Using Double DQN: True
--------------------------------
Game setup and ready to go!
{'RIGHT': 26, 'FIRE': 24, 'RIGHTFIRE': 21, 'LEFTFIRE': 17, 'NOOP': 26, 'LEFT': 32}
{'RIGHT': 11, 'FIRE': 9, 'RIGHTFIRE': 14, 'LEFTFIRE': 9, 'NOOP': 14, 'LEFT': 23}
{'RIGHT': 85, 'FIRE': 56, 'RIGHTFIRE': 70, 'LEFTFIRE': 56, 'NOOP': 73, 'LEFT': 75}
{'RIGHT': 14, 'FIRE': 21, 'RIGHTFIRE': 25, 'LEFTFIRE': 18, 'NOOP': 24, 'LEFT': 23}
{'RIGHT': 46, 'FIRE': 49, 'RIGHTFIRE': 37, 'LEFTFIRE': 44, 'NOOP': 44, 'LEFT': 39}
{'RIGHT': 44, 'FIRE': 34, 'RIGHTFIRE': 33, 'LEFTFIRE': 41, 'NOOP': 32, 'LEFT': 38}
{'RIGHT': 76, 'FIRE': 58, 'RIGHTFIRE': 76, 'LEFTFIRE': 64, 'NOOP': 57, 'LEFT': 55}
{'RIGHT': 124, 'FIRE': 122, 'RIGHTFIRE': 94, 'LEFTFIRE': 97, 'NOOP': 106, 'LEFT': 131}
{'RIGHT': 56, 'FIRE': 56, 'RIGHTFIRE': 55, 'LEFTFIRE': 66, 'NOOP': 45, 'LEFT': 62}
{'RIGHT': 57, 'FIRE': 54, 'RIGHTFIRE': 49, 'LEFTFIRE': 39, 'NOOP': 46, 'LEFT': 63}
{'RIGHT': 18, 'FIRE': 17, 'RIGHTFIRE': 18, 'LEFTFIRE': 21, 'NOOP': 21, 'LEFT': 19}
Summary data has been written!!
{'RIGHT': 25, 'FIRE': 32, 'RIGHTFIRE': 28, 'LEFTFIRE': 20, 'NOOP': 31, 'LEFT': 26}
{'RIGHT': 10, 'FIRE': 11, 'RIGHTFIRE': 13, 'LEFTFIRE': 13, 'NOOP': 15, 'LEFT': 22}
{'RIGHT': 24, 'FIRE': 33, 'RIGHTFIRE': 38, 'LEFTFIRE': 34, 'NOOP': 35, 'LEFT': 31}
{'RIGHT': 21, 'FIRE': 27, 'RIGHTFIRE': 25, 'LEFTFIRE': 33, 'NOOP': 16, 'LEFT': 27}
{'RIGHT': 53, 'FIRE': 60, 'RIGHTFIRE': 76, 'LEFTFIRE': 64, 'NOOP': 68, 'LEFT': 64}
{'RIGHT': 50, 'FIRE': 40, 'RIGHTFIRE': 52, 'LEFTFIRE': 43, 'NOOP': 54, 'LEFT': 68}
{'RIGHT': 89, 'FIRE': 77, 'RIGHTFIRE': 93, 'LEFTFIRE': 96, 'NOOP': 69, 'LEFT': 107}
{'RIGHT': 29, 'FIRE': 28, 'RIGHTFIRE': 17, 'LEFTFIRE': 31, 'NOOP': 29, 'LEFT': 29}
{'RIGHT': 131, 'FIRE': 110, 'RIGHTFIRE': 142, 'LEFTFIRE': 131, 'NOOP': 118, 'LEFT': 139}
{'RIGHT': 59, 'FIRE': 76, 'RIGHTFIRE': 60, 'LEFTFIRE': 67, 'NOOP': 76, 'LEFT': 62}
{'RIGHT': 46, 'FIRE': 40, 'RIGHTFIRE': 36, 'LEFTFIRE': 37, 'NOOP': 41, 'LEFT': 43}
{'RIGHT': 23, 'FIRE': 30, 'RIGHTFIRE': 36, 'LEFTFIRE': 32, 'NOOP': 27, 'LEFT': 31}
Summary data has been written!!
{'RIGHT': 80, 'FIRE': 74, 'RIGHTFIRE': 87, 'LEFTFIRE': 90, 'NOOP': 69, 'LEFT': 110}
{'RIGHT': 21, 'FIRE': 17, 'RIGHTFIRE': 13, 'LEFTFIRE': 25, 'NOOP': 20, 'LEFT': 18}
{'RIGHT': 24, 'FIRE': 32, 'RIGHTFIRE': 36, 'LEFTFIRE': 31, 'NOOP': 19, 'LEFT': 33}
{'RIGHT': 19, 'FIRE': 26, 'RIGHTFIRE': 18, 'LEFTFIRE': 21, 'NOOP': 10, 'LEFT': 25}
{'RIGHT': 61, 'FIRE': 94, 'RIGHTFIRE': 61, 'LEFTFIRE': 57, 'NOOP': 67, 'LEFT': 77}
{'RIGHT': 59, 'FIRE': 56, 'RIGHTFIRE': 57, 'LEFTFIRE': 47, 'NOOP': 65, 'LEFT': 64}
{'RIGHT': 11, 'FIRE': 12, 'RIGHTFIRE': 9, 'LEFTFIRE': 16, 'NOOP': 21, 'LEFT': 18}
{'RIGHT': 15, 'FIRE': 29, 'RIGHTFIRE': 25, 'LEFTFIRE': 15, 'NOOP': 32, 'LEFT': 31}
{'RIGHT': 56, 'FIRE': 62, 'RIGHTFIRE': 69, 'LEFTFIRE': 64, 'NOOP': 70, 'LEFT': 61}
{'RIGHT': 134, 'FIRE': 121, 'RIGHTFIRE': 102, 'LEFTFIRE': 108, 'NOOP': 130, 'LEFT': 141}
{'RIGHT': 54, 'FIRE': 58, 'RIGHTFIRE': 45, 'LEFTFIRE': 54, 'NOOP': 60, 'LEFT': 49}
{'RIGHT': 80, 'FIRE': 87, 'RIGHTFIRE': 84, 'LEFTFIRE': 86, 'NOOP': 74, 'LEFT': 70}
{'RIGHT': 32, 'FIRE': 24, 'RIGHTFIRE': 32, 'LEFTFIRE': 29, 'NOOP': 28, 'LEFT': 28}
{'RIGHT': 33, 'FIRE': 33, 'RIGHTFIRE': 38, 'LEFTFIRE': 29, 'NOOP': 25, 'LEFT': 32}
{'RIGHT': 21, 'FIRE': 36, 'RIGHTFIRE': 18, 'LEFTFIRE': 18, 'NOOP': 29, 'LEFT': 26}
{'RIGHT': 12, 'FIRE': 22, 'RIGHTFIRE': 13, 'LEFTFIRE': 11, 'NOOP': 20, 'LEFT': 24}
Summary data has been written!!
{'RIGHT': 25, 'FIRE': 20, 'RIGHTFIRE': 30, 'LEFTFIRE': 32, 'NOOP': 18, 'LEFT': 23}
{'RIGHT': 187, 'FIRE': 159, 'RIGHTFIRE': 171, 'LEFTFIRE': 154, 'NOOP': 160, 'LEFT': 169}
{'RIGHT': 70, 'FIRE': 56, 'RIGHTFIRE': 76, 'LEFTFIRE': 64, 'NOOP': 63, 'LEFT': 67}
{'RIGHT': 14, 'FIRE': 20, 'RIGHTFIRE': 14, 'LEFTFIRE': 24, 'NOOP': 16, 'LEFT': 16}
{'RIGHT': 22, 'FIRE': 25, 'RIGHTFIRE': 18, 'LEFTFIRE': 25, 'NOOP': 24, 'LEFT': 30}
{'RIGHT': 67, 'FIRE': 57, 'RIGHTFIRE': 74, 'LEFTFIRE': 72, 'NOOP': 61, 'LEFT': 71}
{'RIGHT': 27, 'FIRE': 24, 'RIGHTFIRE': 28, 'LEFTFIRE': 27, 'NOOP': 25, 'LEFT': 32}
{'RIGHT': 14, 'FIRE': 11, 'RIGHTFIRE': 16, 'LEFTFIRE': 16, 'NOOP': 17, 'LEFT': 17}
{'RIGHT': 49, 'FIRE': 53, 'RIGHTFIRE': 64, 'LEFTFIRE': 54, 'NOOP': 42, 'LEFT': 57}
{'RIGHT': 25, 'FIRE': 31, 'RIGHTFIRE': 27, 'LEFTFIRE': 26, 'NOOP': 27, 'LEFT': 42}
{'RIGHT': 28, 'FIRE': 36, 'RIGHTFIRE': 25, 'LEFTFIRE': 30, 'NOOP': 23, 'LEFT': 31}
{'RIGHT': 18, 'FIRE': 19, 'RIGHTFIRE': 20, 'LEFTFIRE': 17, 'NOOP': 18, 'LEFT': 20}
{'RIGHT': 21, 'FIRE': 20, 'RIGHTFIRE': 25, 'LEFTFIRE': 22, 'NOOP': 27, 'LEFT': 32}
{'RIGHT': 60, 'FIRE': 76, 'RIGHTFIRE': 56, 'LEFTFIRE': 42, 'NOOP': 66, 'LEFT': 64}
Summary data has been written!!
{'RIGHT': 47, 'FIRE': 51, 'RIGHTFIRE': 57, 'LEFTFIRE': 43, 'NOOP': 56, 'LEFT': 50}
{'RIGHT': 88, 'FIRE': 87, 'RIGHTFIRE': 80, 'LEFTFIRE': 93, 'NOOP': 102, 'LEFT': 94}
{'RIGHT': 50, 'FIRE': 63, 'RIGHTFIRE': 71, 'LEFTFIRE': 60, 'NOOP': 47, 'LEFT': 61}
{'RIGHT': 41, 'FIRE': 39, 'RIGHTFIRE': 40, 'LEFTFIRE': 37, 'NOOP': 36, 'LEFT': 44}
{'RIGHT': 13, 'FIRE': 19, 'RIGHTFIRE': 10, 'LEFTFIRE': 16, 'NOOP': 10, 'LEFT': 14}
{'RIGHT': 29, 'FIRE': 27, 'RIGHTFIRE': 30, 'LEFTFIRE': 23, 'NOOP': 33, 'LEFT': 36}
{'RIGHT': 163, 'FIRE': 199, 'RIGHTFIRE': 196, 'LEFTFIRE': 193, 'NOOP': 179, 'LEFT': 241}
{'RIGHT': 72, 'FIRE': 82, 'RIGHTFIRE': 66, 'LEFTFIRE': 60, 'NOOP': 75, 'LEFT': 77}
{'RIGHT': 56, 'FIRE': 43, 'RIGHTFIRE': 52, 'LEFTFIRE': 44, 'NOOP': 56, 'LEFT': 54}
{'RIGHT': 10, 'FIRE': 15, 'RIGHTFIRE': 8, 'LEFTFIRE': 16, 'NOOP': 20, 'LEFT': 13}
{'RIGHT': 22, 'FIRE': 20, 'RIGHTFIRE': 20, 'LEFTFIRE': 27, 'NOOP': 21, 'LEFT': 25}
{'RIGHT': 23, 'FIRE': 14, 'RIGHTFIRE': 8, 'LEFTFIRE': 11, 'NOOP': 9, 'LEFT': 19}
{'RIGHT': 29, 'FIRE': 21, 'RIGHTFIRE': 19, 'LEFTFIRE': 29, 'NOOP': 21, 'LEFT': 29}
{'RIGHT': 4, 'FIRE': 10, 'RIGHTFIRE': 5, 'LEFTFIRE': 13, 'NOOP': 6, 'LEFT': 12}
Summary data has been written!!
{'RIGHT': 45, 'FIRE': 25, 'RIGHTFIRE': 43, 'LEFTFIRE': 37, 'NOOP': 29, 'LEFT': 46}
{'RIGHT': 88, 'FIRE': 73, 'RIGHTFIRE': 78, 'LEFTFIRE': 71, 'NOOP': 84, 'LEFT': 88}
{'RIGHT': 88, 'FIRE': 82, 'RIGHTFIRE': 108, 'LEFTFIRE': 105, 'NOOP': 107, 'LEFT': 101}
{'RIGHT': 38, 'FIRE': 51, 'RIGHTFIRE': 37, 'LEFTFIRE': 32, 'NOOP': 45, 'LEFT': 38}
{'RIGHT': 18, 'FIRE': 19, 'RIGHTFIRE': 18, 'LEFTFIRE': 22, 'NOOP': 22, 'LEFT': 17}
{'RIGHT': 66, 'FIRE': 69, 'RIGHTFIRE': 66, 'LEFTFIRE': 57, 'NOOP': 60, 'LEFT': 68}
{'RIGHT': 24, 'FIRE': 19, 'RIGHTFIRE': 24, 'LEFTFIRE': 18, 'NOOP': 21, 'LEFT': 30}
{'RIGHT': 48, 'FIRE': 61, 'RIGHTFIRE': 72, 'LEFTFIRE': 48, 'NOOP': 50, 'LEFT': 65}
{'RIGHT': 61, 'FIRE': 51, 'RIGHTFIRE': 43, 'LEFTFIRE': 46, 'NOOP': 48, 'LEFT': 41}
{'RIGHT': 31, 'FIRE': 38, 'RIGHTFIRE': 46, 'LEFTFIRE': 41, 'NOOP': 28, 'LEFT': 44}
{'RIGHT': 32, 'FIRE': 52, 'RIGHTFIRE': 45, 'LEFTFIRE': 25, 'NOOP': 38, 'LEFT': 48}
{'RIGHT': 33, 'FIRE': 22, 'RIGHTFIRE': 14, 'LEFTFIRE': 26, 'NOOP': 24, 'LEFT': 25}
{'RIGHT': 31, 'FIRE': 21, 'RIGHTFIRE': 37, 'LEFTFIRE': 30, 'NOOP': 22, 'LEFT': 35}
{'RIGHT': 66, 'FIRE': 64, 'RIGHTFIRE': 66, 'LEFTFIRE': 48, 'NOOP': 56, 'LEFT': 54}
Summary data has been written!!
{'RIGHT': 85, 'FIRE': 98, 'RIGHTFIRE': 104, 'LEFTFIRE': 97, 'NOOP': 102, 'LEFT': 122}
{'RIGHT': 39, 'FIRE': 48, 'RIGHTFIRE': 46, 'LEFTFIRE': 36, 'NOOP': 37, 'LEFT': 31}
{'RIGHT': 12, 'FIRE': 16, 'RIGHTFIRE': 18, 'LEFTFIRE': 18, 'NOOP': 15, 'LEFT': 26}
